Samsung Xpress M2870FW;       192
Samsung M2070 Series;       415
Xerox WorkCentre 5790 v1 Multifunction System;        78
DatamaxM4210-MarkII;         6
Xerox 4112 v 46. 21.  0 Multifunction System;         8
HP LaserJet Pro MFP M225rdn;         1
HP LaserJet Pro M402-M403;        46
LaserJet M1005 MFP;         1
HP LaserJet Professional M1212nf MFP;         3
Epson EPL-6200L;         1
HP LaserJet P2050;         2
HP LaserJet MFP M227fdn;       361
HP LaserJet MFP M426fdn;       181
HP LaserJet MFP M132fn;        21
HP LaserJet 1020;         2
HP LaserJet M1530 MFP;         9
Xerox Phaser 3160;         1
HP LaserJet flow MFP M830;         8
Xerox D110 Copier-Printer v 84. 13.  0 Multifunction System;         1
Laserjet CP1525nw;         1
